Ax	Ay	Gx	Gy
0,198882	0,001132	-0,183614	-0,009568
0,197309	0,001112	-0,202161	-0,010069
0,195950	0,001095	-0,221046	-0,010899
0,193257	0,001099	-0,239519	-0,010586
0,190930	0,001103	-0,257961	-0,010804
0,188919	0,001107	-0,275490	-0,011263
0,187180	0,001110	-0,293278	-0,011642
0,184106	0,001073	-0,310152	-0,012150
0,181449	0,001042	-0,326200	-0,012752
0,179153	0,001015	-0,341931	-0,012856
0,177169	0,000991	-0,357153	-0,014266
0,173836	0,000854	-0,371466	-0,015051
0,170955	0,000736	-0,385373	-0,016090
0,168466	0,000633	-0,398910	-0,016935
0,166314	0,000545	-0,411802	-0,018225
0,162870	0,000241	-0,424391	-0,019810
0,159894	-0,000021	-0,436156	-0,021541
0,157321	-0,000248	-0,447933	-0,022820
0,155098	-0,000443	-0,459720	-0,024902
0,151528	-0,000874	-0,470811	-0,026484
0,148442	-0,001247	-0,481282	-0,028412
0,145775	-0,001569	-0,491669	-0,029825
0,143471	-0,001847	-0,501550	-0,031119
0,141479	-0,002362	-0,511572	-0,032888
0,138200	-0,002808	-0,521806	-0,034597
0,135366	-0,003193	-0,532205	-0,036400
0,132917	-0,003526	-0,543615	-0,037705
0,130801	-0,003814	-0,555013	-0,039971
0,127463	-0,004470	-0,566888	-0,041659
0,124578	-0,005037	-0,579284	-0,043190
0,122085	-0,005527	-0,592040	-0,044369
0,119930	-0,005951	-0,604529	-0,045315
0,116586	-0,006680	-0,617057	-0,045789
0,113696	-0,007309	-0,628771	-0,046434
0,111198	-0,007854	-0,639274	-0,047118
0,109040	-0,008324	-0,648423	-0,047998
0,105341	-0,009088	-0,656349	-0,048578
0,102145	-0,009748	-0,662168	-0,049459
0,099382	-0,010319	-0,667052	-0,049642
0,096995	-0,010812	-0,670912	-0,050089
0,093193	-0,011531	-0,672892	-0,050892
0,089908	-0,012152	-0,674242	-0,051603
0,087069	-0,012689	-0,674469	-0,052308
0,084615	-0,013154	-0,674484	-0,053207
0,080888	-0,013793	-0,674370	-0,054237
0,077668	-0,014345	-0,674055	-0,055380
0,074884	-0,014823	-0,673891	-0,056061
0,072479	-0,015236	-0,673677	-0,056956
0,069007	-0,015862	-0,673998	-0,057983
0,066006	-0,016403	-0,674186	-0,058889
0,063412	-0,016871	-0,675143	-0,059943
0,061171	-0,017275	-0,675482	-0,060474
0,057746	-0,017893	-0,676119	-0,061457
0,054785	-0,018427	-0,676597	-0,062578
0,052227	-0,018889	-0,676919	-0,063041
0,050016	-0,019288	-0,676638	-0,063965
0,046655	-0,019872	-0,676268	-0,063426
0,043750	-0,020378	-0,675026	-0,063412
0,041240	-0,020814	-0,673031	-0,063563
0,039071	-0,021192	-0,670313	-0,063133
0,035711	-0,021739	-0,667078	-0,064767
0,032807	-0,022212	-0,660142	-0,063686
0,030297	-0,022621	-0,653497	-0,059750
0,028128	-0,022974	-0,644193	-0,057541
0,026253	-0,023491	-0,635031	-0,053735
0,023229	-0,023938	-0,624672	-0,051439
0,020615	-0,024324	-0,613406	-0,049961
0,018356	-0,024658	-0,601355	-0,047726
0,016404	-0,024947	-0,590633	-0,047041
0,013357	-0,025402	-0,578475	-0,045925
0,010723	-0,025795	-0,566068	-0,046642
0,008447	-0,026135	-0,555165	-0,048563
0,006480	-0,026429	-0,543899	-0,050169
0,003826	-0,026874	-0,532408	-0,052823
0,001532	-0,027259	-0,522152	-0,057086
-0,000451	-0,027591	-0,511625	-0,058421
-0,002164	-0,027879	-0,500575	-0,059810
-0,004463	-0,028202	-0,491079	-0,061896
-0,006450	-0,028481	-0,479907	-0,061511
-0,008167	-0,028722	-0,472187	-0,063474
-0,009651	-0,028931	-0,463200	-0,063526
-0,011475	-0,029161	-0,454150	-0,064222
-0,013051	-0,029360	-0,445479	-0,064805
-0,014414	-0,029532	-0,434768	-0,065688
-0,015591	-0,029681	-0,424769	-0,067229
-0,017040	-0,029955	-0,412747	-0,069157
-0,018292	-0,030193	-0,401761	-0,070571
-0,019374	-0,030398	-0,387584	-0,073654
-0,020309	-0,030576	-0,378025	-0,075126
-0,021270	-0,030910	-0,362479	-0,076254
-0,022100	-0,031199	-0,349097	-0,079090
-0,022817	-0,031448	-0,333682	-0,080475
-0,023437	-0,031664	-0,317846	-0,082394
-0,023930	-0,032153	-0,302371	-0,085283
-0,024357	-0,032575	-0,287387	-0,086206
-0,024725	-0,032940	-0,270804	-0,088596
-0,025044	-0,033256	-0,254755	-0,090100
-0,025122	-0,033683	-0,239150	-0,090550
-0,025188	-0,034052	-0,221360	-0,089566
-0,025246	-0,034370	-0,202659	-0,089112
-0,025296	-0,034646	-0,185882	-0,088685
-0,025342	-0,034973	-0,168455	-0,087212
-0,025123	-0,035256	-0,152471	-0,086626
-0,024933	-0,035501	-0,135295	-0,085180
-0,024770	-0,035712	-0,118859	-0,084129
-0,024628	-0,035992	-0,101473	-0,083040
-0,023949	-0,036233	-0,083501	-0,082135
-0,023363	-0,036442	-0,065763	-0,081226
-0,022856	-0,036623	-0,047216	-0,080170
-0,022418	-0,036779	-0,028185	-0,079166
-0,021402	-0,036975	-0,008303	-0,077341
-0,020523	-0,037145	0,011772	-0,076541
