Ax	Ay	Gx	Gy
2,926239	1,419363	-266,189240	328,760712
2,928759	1,420345	-265,349030	330,558014
2,934128	1,421663	-267,066467	328,581696
2,938768	1,422803	-267,193207	332,711151
2,942779	1,423787	-265,537903	332,750366
2,946245	1,424638	-267,093933	329,797638
2,946253	1,422979	-266,945435	330,096619
2,946259	1,421545	-268,717651	332,934357
2,946265	1,420306	-269,570526	334,436584
2,946270	1,419235	-270,850616	332,884003
2,943194	1,415934	-271,278168	333,985779
2,940535	1,413082	-271,783417	335,209503
2,938237	1,410616	-268,554688	335,588318
2,936251	1,408485	-267,393341	334,829681
2,934978	1,407612	-267,611450	333,359497
2,933879	1,406857	-268,342987	335,347015
2,932929	1,406204	-267,753418	333,263580
2,932107	1,405640	-270,094727	332,684784
2,934823	1,405152	-271,032166	332,184570
2,937171	1,402915	-271,842316	333,245544
2,939199	1,400982	-274,443085	333,347961
2,940953	1,399311	-274,654449	330,178345
2,941216	1,397867	-275,787415	331,511688
2,945685	1,397660	-275,273254	330,491943
2,949548	1,397481	-273,878601	329,882141
2,952886	1,397326	-273,352051	331,119934
2,955771	1,397192	-274,933319	330,289124
2,958271	1,400569	-272,498779	331,200165
2,960431	1,403488	-273,245605	329,679688
2,962298	1,406011	-274,026794	326,465057
2,963912	1,408191	-277,281281	330,474579
2,965317	1,410994	-277,378845	330,953186
2,966530	1,413416	-275,155334	329,466248
2,967579	1,415509	-275,813019	330,760498
2,968486	1,417318	-273,259064	331,064514
2,966568	1,416976	-270,373047	326,304321
2,964911	1,416681	-271,679962	325,584229
2,963478	1,416426	-271,723419	327,405487
2,962240	1,416206	-269,453125	326,671661
2,958198	1,414063	-268,305573	325,087158
2,954705	1,412212	-270,571930	324,803802
2,951686	1,410612	-271,173065	327,274017
2,949077	1,409230	-270,742310	329,137390
2,944412	1,405975	-270,505768	329,933258
2,940380	1,403163	-272,066162	328,584778
2,936896	1,400732	-270,156616	328,641144
2,933884	1,398631	-270,814117	328,554108
